Chinese	Nushu	Book Reference Pg		Our label 	Key		
百年成之不足一旦坏之有余	𛇫𛆥𛈒𛆷𛆳𛇭𛆼𛉄𛆌𛆷𛈶𛇄	165		0			
七十古来稀	𛅲𛅵𛇰𛇤𛊼	165		1			
养儿代老积谷防饥	𛈍𛇈𛅻𛇼𛊈𛋸𛋅𛋔	165		2			
数口之家可以无饥样	𛉅𛆚𛈤𛉊𛆄𛆱𛇯𛋔𛈍	165		2			
常将有时思无日	𛈾𛈼𛈶𛆸𛊸𛇯𛇈	165		2			
一岁女手上珠二岁女裙脚婴	𛆼𛊮𛆁𛆞𛆈𛉙𛅱𛊮𛆁𛊶𛊐𛊫	170		2			
三岁学行亦学走四岁提篮入菜园	𛆊𛊮𛉬𛇐𛇁𛉬𛈖𛈗𛊮𛊹𛋂𛅱𛈠𛆧	170		2			
五岁搭婆炒茶叶六岁搭母养蚕婴	𛈕𛊮𛆇𛉖𛉤𛉗𛆱𛆜𛊮𛆇𛇀𛈍𛋳𛊫	170		2			
七岁篱上织细综八岁上车捡细纱	𛅲𛊮𛊎𛆈𛊐𛅿𛇎𛅴𛊮𛆈𛊌𛊀𛅿𛊾	170		2			
一打戒指对牡丹二打金鸟对风凰	𛅰𛆇𛆄𛆑𛆬𛇀𛈁𛅱𛆇𛆭𛋒𛆬𛋆𛊨	171		2			
三打天上娥眉月四打童子拜观音	𛆊𛆇𛆤𛆈𛊢𛇓𛇃𛈗𛆇𛊤𛆑𛇣𛇕𛆱	171		1			
五打五子来行孝六打神仙吕洞宾	𛈕𛆇𛈕𛆑𛇤𛇐𛉬𛆜𛆇𛋙𛇚𛆽𛆒𛋆	171		1			
七打上天七姐妹八打狮子滚绣球	𛅲𛆇𛆈𛆤𛅲𛈖𛋉𛅴𛆇𛊸𛆑𛈅𛋜𛆝	171		2			
九打黄龙来戏水十打鲤鱼跳龙门	𛆆𛆇𛊨𛉴𛇤𛆓𛅸𛅵𛆇𛉄𛊢𛉕𛉴𛇷	171		2			
一取天上娥眉月二取狮子抢绣球	𛆼𛇂𛆤𛆈𛊢𛇓𛇃𛅱𛇂𛊸𛆑𛊩𛋜𛆝	172		2			
三取三星三结仪四取童子拜观音	𛆊𛇂𛆊𛉾𛆊𛊐𛅺𛈗𛇂𛊤𛆑𛇣𛇕𛆱	172		2			
五取五娘落文镜六取金鸟对风凰	𛈕𛇂𛈕𛇘𛋝𛆂𛇆𛆜𛇂𛆭𛋒𛆬𛋆𛊨	172		2			
七取天上七姐妹八取神仙吕洞宾	𛅲𛇂𛆤𛆈𛅲𛈖𛋉𛅴𛇂𛋙𛇚𛆽𛆒𛋆	172		2			
九取黄龙来优水十取鲤鱼跳龙门	𛆆𛇂𛊨𛉴𛇤𛊗𛅸𛅵𛇂𛉄𛊢𛉕𛉴𛇷	172		2			
初步出山幼阳鸟不会拍翅开嘴啼	𛊾𛉖𛈚𛇏𛆱𛈿𛋒𛆳𛆴𛇫𛆑𛇶𛆘𛊹	173		2			
啼得高声人取笑啼得低声人不闻	𛊹𛋀𛋂𛉂𛅳𛉛𛅿𛊹𛋀𛅾𛉂𛅳𛆳𛇷	173		2			
先开金玉花后结弯嘴桃	𛇚𛇶𛆭𛉚𛈣𛇌𛊐𛆨𛆘𛊤	175		1			
打开全天下遮在世间人	𛋆𛇶𛈆𛆤𛅽𛊵𛇥𛆓𛆃𛅳	175		0			
有女不会嫁嫁入乔底下	𛈶𛆁𛆳𛋶𛉌𛉌𛅱𛊻𛋒𛅽	175		0			
夜里同鬼睡问你怕不怕	𛇩𛉄𛊤𛈙𛆙𛉟𛈪𛇲𛆳𛇲	175		0			
身坐凉床吹玉笛手拿文笔点珍珠	𛈛𛇎𛉴𛈉𛆪𛉚𛋮𛆞𛇁𛆂𛇞𛉸𛆭𛉙	176		1			
口吹清烟自来味红灯照亮几时收	𛆚𛆪𛊭𛊫𛈤𛇤𛆨𛉢𛊚𛉓𛇖𛆺𛆸𛈀	176		1			
春天不下种四季不开花	𛊌𛆤𛆳𛅽𛆻𛈗𛉓𛆳𛇶𛈣	176		0			
一时结扁豆一时结西瓜	𛆼𛆸𛊐𛆦𛋛𛆼𛆸𛊐𛈨𛉊	176		1			
上街又有猪羊肉下街花酒满城香	𛆈𛇧𛇁𛈶𛆽𛈿𛈵𛅽𛇧𛈣𛊟𛋪𛈒𛉶	177		2			
街头买张青绵纸修书拜见孔子堂	𛇧𛇊𛊊𛈌𛊭𛊬𛆑𛉪𛈬𛇣𛇝𛆣𛆑𛊤	177		1			
一拜先生为父母二拜先生为爷娘	𛅰𛇣𛇚𛇏𛊄𛆖𛇀𛅱𛇣𛇚𛇏𛊄𛉍𛇘	177		1			
三拜三千徒弟子深深礼拜入师堂	𛆊𛇣𛆊𛆉𛆒𛅹𛆑𛈛𛈛𛅹𛇣𛇈𛊸𛊤	177		1			
四拜圣人将完了笔共研石书共箱	𛈗𛇣𛈓𛅳𛈼𛆧𛅹𛇞𛉋𛈏𛊍𛈬𛉋𛉵	177		1			
白浪同行同凳坐夜间同被又同床	𛇪𛋈𛊤𛇐𛊤𛇽𛇎𛇩𛆃𛊤𛇣𛇁𛊤𛈉	177		2			
英台夜间连衣睡	𛊣𛅻𛇩𛈸𛉹𛈡𛉅	177		1			
连衣不脱先上床	𛉹𛈡𛆳𛊱𛇚𛆈𛈉	177		1			
